t01,exxEng01SOI,exxEng01AVG,StressEng01SOI,eyyEng01SOI,eyyEng01AVG,exyEng01SOI,exyEng01AVG,t02,exxEng02SOI,exxEng02AVG,StressEng02SOI,eyyEng02SOI,eyyEng02AVG,exyEng02SOI,exyEng02AVG,t03,exxEng03SOI,exxEng03AVG,StressEng03SOI,eyyEng03SOI,eyyEng03AVG,exyEng03SOI,exyEng03AVG,t04,exxEng04SOI,exxEng04AVG,StressEng04SOI,eyyEng04SOI,eyyEng04AVG,exyEng04SOI,exyEng04AVG,t05,exxEng05SOI,exxEng05AVG,StressEng05SOI,eyyEng05SOI,eyyEng05AVG,exyEng05SOI,exyEng05AVG,t06,exxEng06SOI,exxEng06AVG,StressEng06SOI,eyyEng06SOI,eyyEng06AVG,exyEng06SOI,exyEng06AVG
3.3705358,0.0033628973,0.0033190157,3.8673333,-0.0013808163,-0.0014031356,2.7000365e-05,2.6500351e-05,3.2455992,0.002807952,0.0029231852,3.670125,-0.0012540686,-0.0012172131,0.00050334964,0.00047416838,3.7457358,0.00347555,0.0033721787,4.1503333,-0.0014006666,-0.0014099506,0.00043149207,0.00011359345,2.7702789,0.0027390251,0.0026995668,3.3240833,-0.0011970043,-0.001173469,-1.0305747e-05,-3.4332511e-05,3.7191967,0.0037338602,0.0036653639,4.259,-0.0015604239,-0.0015442859,0.00020224345,8.0167213e-05,3.1880791,0.0032422398,0.003052787,3.8565833,-0.0013942197,-0.0012087126,0.00011882406,0.00011169924
3.5718358,0.0035699908,0.0035199276,4.073875,-0.0015330762,-0.0015460305,3.7200692e-05,5.6201579e-05,3.4468992,0.0030138394,0.0031081223,3.9169583,-0.001330619,-0.0013119205,0.00050642719,0.00047771207,3.9471358,0.0036487177,0.0035842923,4.378375,-0.0015609636,-0.0015189252,0.00045199612,0.00012323259,2.9715789,0.0029352851,0.0029080375,3.5749167,-0.0012370697,-0.0012090699,-3.1837993e-05,-3.3388043e-05,3.9204967,0.0039590669,0.0038680931,4.4789583,-0.0016414947,-0.0016196434,0.00020597521,8.4481368e-05,3.3880791,0.0032038033,0.003232742,4.0671667,-0.0015132752,-0.0013235785,0.00025047136,8.8782141e-05
3.7731358,0.0037801575,0.0036911407,4.3005833,-0.0015664892,-0.0015885215,3.000045e-05,5.7001625e-05,3.6481992,0.003171706,0.0032839765,4.143625,-0.0014414146,-0.0014209398,0.00052041937,0.00047974304,4.1484358,0.0038491156,0.0037564478,4.5809167,-0.0016477168,-0.0015998695,0.00042869786,8.294914e-05,3.1728789,0.003139656,0.0031019713,3.811,-0.0013067284,-0.001300893,-5.9084954e-05,-5.3802553e-05,4.1218967,0.004131948,0.004073442,4.703,-0.0017290378,-0.0017027426,0.0002112183,9.2724099e-05,3.5880791,0.0036386662,0.0034006049,4.2845,-0.0015466122,-0.0014080715,9.0536098e-05,9.5546264e-05
3.9745358,0.0038996331,0.0039125793,4.528625,-0.001682048,-0.00169217,5.1801342e-05,6.2201934e-05,3.8495992,0.0034084923,0.0035120262,4.393125,-0.0014905522,-0.0015080988,0.00055748334,0.00049962277,4.3497358,0.0039487827,0.003918806,4.8035833,-0.001799659,-0.0017480805,0.00043145505,0.00010083208,3.3742789,0.0033478299,0.0032957822,4.0322917,-0.0013445622,-0.0013414831,-5.3879048e-05,-6.9489985e-05,4.3231967,0.0043648956,0.0042682251,4.9296667,-0.0018064714,-0.0018064497,0.0002015183,8.4519672e-05,3.7880791,0.003793282,0.0035871221,4.503125,-0.0013473926,-0.0013309894,0.00010204221,0.00012536686
4.1758358,0.0042002113,0.0041529478,4.752625,-0.001764218,-0.0017970157,5.1601331e-05,5.1501326e-05,4.0508992,0.0035419945,0.0037078181,4.5997083,-0.0015950002,-0.0015587849,0.00051660039,0.00050679037,4.5510358,0.0042519988,0.0041367521,5.031625,-0.0018199329,-0.0017843512,0.00044908081,0.00011692784,3.5755789,0.0035584347,0.0035079782,4.27375,-0.0014408183,-0.0014122821,-7.3858172e-05,-6.2300059e-05,4.5244967,0.0045519174,0.0044728228,5.145625,-0.0018746564,-0.0018700583,0.00021505212,9.949945e-05,3.9980791,0.0036530785,0.0038518983,4.8250417,-0.0018567186,-0.0015180115,0.00016426649,9.5791588e-05
4.3436358,0.0044089336,0.0043390674,4.9739583,-0.0018507639,-0.0018496192,5.090013e-06,2.3000265e-05,4.2521992,0.0037607803,0.0038963021,4.8344583,-0.0016273079,-0.001622738,0.0005601058,0.00051972701,4.7524358,0.0043881562,0.0043384042,5.2489167,-0.0018396772,-0.0018385899,0.00046951219,0.00010992104,3.7768789,0.0037683211,0.0037054295,4.5098333,-0.0014804745,-0.0014781629,-5.7554444e-05,-6.6277004e-05,4.7257967,0.0047387028,0.0046621717,5.375,-0.0020048945,-0.001971103,0.00021234454,9.0430789e-05,4.1980791,0.0040762311,0.0040428244,5.0034583,-0.0016734883,-0.0015400899,4.1012041e-05,0.00012239549
4.5449358,0.0045554667,0.0045241271,5.19125,-0.001885464,-0.0018797983,4.5401031e-05,5.2501378e-05,4.4534992,0.0038742919,0.0040776948,5.0651667,-0.0017711023,-0.0016988873,0.00051496955,0.00049167783,4.9537358,0.0046025984,0.0045151339,5.4809583,-0.0019266957,-0.0019353598,0.00042343562,0.00011397149,3.9781789,0.0039423818,0.0039032208,4.7445833,-0.0015643056,-0.0015431007,-6.7173944e-05,-5.8833869e-05,4.9271967,0.0049657325,0.0048605235,5.5882917,-0.0020871467,-0.0020599017,0.0002172776,9.7437347e-05,4.3980791,0.0042600977,0.0042615491,5.240875,-0.001851537,-0.0015762671,0.0001618691,0.00011767492
4.7462358,0.0047529633,0.0046887022,5.4139167,-0.0020325466,-0.0020383358,4.4100972e-05,5.9901794e-05,4.6548992,0.004173059,0.0042921302,5.2878333,-0.0018900035,-0.0018459177,0.00053780156,0.00052041337,5.1215358,0.0047494282,0.0047035654,5.6835,-0.0020237465,-0.0019864362,0.00047860249,0.00011268135,4.1795789,0.0041355348,0.0040935128,4.9846667,-0.0016989,-0.0016731433,-4.8475725e-05,-4.359255e-05,5.1284967,0.0051695082,0.0050596074,5.7908333,-0.0021363531,-0.00213044,0.00020562114,9.5364647e-05,4.5980791,0.0045458138,0.0044561171,5.505125,-0.0018551911,-0.0017027821,8.1697737e-05,0.0001165918
4.9475358,0.0049563254,0.004907719,5.6379167,-0.0021011445,-0.0020996598,4.2100886e-05,7.6302911e-05,4.8561992,0.0042836646,0.0044638442,5.509125,-0.0018606389,-0.0018716617,0.00055152103,0.00053584051,5.3228358,0.0050294103,0.0048924138,5.9195833,-0.0021190715,-0.0021073342,0.00045707443,0.00012778116,4.3808789,0.0043180022,0.00429379,5.2019583,-0.0018228147,-0.0017942742,-4.2693189e-05,-3.5626065e-05,5.3297967,0.0053479452,0.0052650495,6.0202083,-0.0022749381,-0.0022473242,0.00021838684,0.000100045,4.7980791,0.0048050774,0.0046455416,5.7626667,-0.0019508818,-0.0017566442,2.6642955e-05,0.00012047926
5.1489358,0.0051680787,0.0050815602,5.8498333,-0.0021348579,-0.0021543931,4.1700869e-05,7.470279e-05,5.0574992,0.0045238375,0.0046575019,5.7345,-0.0019984317,-0.0019934155,0.00058582153,0.00054487139,5.5241358,0.0051739516,0.0050688897,6.1235,-0.0022328268,-0.0021800177,0.00045736456,0.00012276654,4.5821789,0.0045498991,0.0044716748,5.44075,-0.0018958365,-0.0018726575,-4.7892353e-05,-4.4779497e-05,5.4975967,0.0055698847,0.0054561354,6.232125,-0.0023646006,-0.0023186874,0.00023019949,0.00011052011,4.9980791,0.0046975609,0.0048236335,5.9652083,-0.0020928885,-0.0019428978,9.5773286e-05,0.00015414388
